Sample,cell_type,Combo,n_cell_sn,prop_sn
Br2720_mid,Astro,Circle,150,0.0390625
Br2720_mid,EndoMural,Circle,37,0.009635416666666667
Br2720_mid,Excit,Star,353,0.15843806104129263
Br2720_mid,Inhib,Circle,1733,0.4513020833333333
Br2720_mid,Micro,Star,15,0.006732495511669659
Br2720_mid,OligoOPC,Star,746,0.3348294434470377
Br2720_mid,Other,Circle,1920,0.5
Br2720_mid,Other,Star,1114,0.5
Br2720_post,Astro,Circle,81,0.16804979253112035
Br2720_post,EndoMural,Circle,66,0.13692946058091288
Br2720_post,Excit,Star,1198,0.36347087378640774
Br2720_post,Inhib,Circle,94,0.1950207468879668
Br2720_post,Micro,Star,47,0.014259708737864078
Br2720_post,OligoOPC,Star,403,0.12226941747572816
Br2720_post,Other,Circle,241,0.5
Br2720_post,Other,Star,1648,0.5
Br2743_ant,Astro,Circle,352,0.32116788321167883
Br2743_ant,EndoMural,Circle,100,0.09124087591240876
Br2743_ant,Excit,Star,497,0.13148148148148148
Br2743_ant,Inhib,Circle,96,0.08759124087591241
Br2743_ant,Micro,Star,112,0.02962962962962963
Br2743_ant,OligoOPC,Star,1281,0.3388888888888889
Br2743_ant,Other,Circle,548,0.5
Br2743_ant,Other,Star,1890,0.5
Br2743_mid,Astro,Circle,28,0.019662921348314606
Br2743_mid,EndoMural,Circle,7,0.0049157303370786515
Br2743_mid,Excit,Star,1452,0.3637274549098196
Br2743_mid,Inhib,Circle,677,0.47542134831460675
Br2743_mid,Micro,Star,43,0.010771543086172345
Br2743_mid,OligoOPC,Star,501,0.12550100200400802
Br2743_mid,Other,Circle,712,0.5
Br2743_mid,Other,Star,1996,0.5
Br3942_ant,Astro,Circle,420,0.1504297994269341
Br3942_ant,EndoMural,Circle,391,0.1400429799426934
Br3942_ant,Excit,Star,2909,0.3988209487249794
Br3942_ant,Inhib,Circle,585,0.2095272206303725
Br3942_ant,Micro,Star,169,0.023169728544008773
Br3942_ant,OligoOPC,Star,569,0.07800932273101178
Br3942_ant,Other,Circle,1396,0.5
Br3942_ant,Other,Star,3647,0.5
Br3942_mid,Astro,Circle,214,0.1646153846153846
Br3942_mid,EndoMural,Circle,189,0.1453846153846154
Br3942_mid,Excit,Star,2156,0.42274509803921567
Br3942_mid,Inhib,Circle,247,0.19
Br3942_mid,Micro,Star,84,0.01647058823529412
Br3942_mid,OligoOPC,Star,310,0.060784313725490195
Br3942_mid,Other,Circle,650,0.5
Br3942_mid,Other,Star,2550,0.5
Br6423_ant,Astro,Circle,305,0.28558052434456926
