SAMPLE_ID,Dataset,BrNum,pos,library_prep,cell_type,prop,method,marker,Sample,RNAscope_prop,library_type,rna_extract,library_combo
2107UNHS-0291_Br2720_Mid_Bulk,2107UNHS-0291,Br2720,Mid,Bulk,Astro,0.038246405080478885,Bisque,1vALL_top25,Br2720_mid,NA,polyA,Total,polyA_Total
2107UNHS-0291_Br2720_Mid_Bulk,2107UNHS-0291,Br2720,Mid,Bulk,EndoMural,0.041320174541746635,Bisque,1vALL_top25,Br2720_mid,NA,polyA,Total,polyA_Total
2107UNHS-0291_Br2720_Mid_Bulk,2107UNHS-0291,Br2720,Mid,Bulk,Micro,0.037858370774616054,Bisque,1vALL_top25,Br2720_mid,NA,polyA,Total,polyA_Total
2107UNHS-0291_Br2720_Mid_Bulk,2107UNHS-0291,Br2720,Mid,Bulk,Oligo,0.23926822684470478,Bisque,1vALL_top25,Br2720_mid,NA,polyA,Total,polyA_Total
2107UNHS-0291_Br2720_Mid_Bulk,2107UNHS-0291,Br2720,Mid,Bulk,OPC,0.05526016058431073,Bisque,1vALL_top25,Br2720_mid,NA,polyA,Total,polyA_Total
2107UNHS-0291_Br2720_Mid_Bulk,2107UNHS-0291,Br2720,Mid,Bulk,Excit,0.5057105218705693,Bisque,1vALL_top25,Br2720_mid,NA,polyA,Total,polyA_Total
2107UNHS-0291_Br2720_Mid_Bulk,2107UNHS-0291,Br2720,Mid,Bulk,Inhib,0.08233614030357381,Bisque,1vALL_top25,Br2720_mid,NA,polyA,Total,polyA_Total
2107UNHS-0291_Br2720_Mid_Cyto,2107UNHS-0291,Br2720,Mid,Cyto,Astro,0.043732407526193784,Bisque,1vALL_top25,Br2720_mid,NA,polyA,Cyto,polyA_Cyto
2107UNHS-0291_Br2720_Mid_Cyto,2107UNHS-0291,Br2720,Mid,Cyto,EndoMural,0.05394705658396367,Bisque,1vALL_top25,Br2720_mid,NA,polyA,Cyto,polyA_Cyto
2107UNHS-0291_Br2720_Mid_Cyto,2107UNHS-0291,Br2720,Mid,Cyto,Micro,0.05051053281524598,Bisque,1vALL_top25,Br2720_mid,NA,polyA,Cyto,polyA_Cyto
2107UNHS-0291_Br2720_Mid_Cyto,2107UNHS-0291,Br2720,Mid,Cyto,Oligo,0.19146978478493593,Bisque,1vALL_top25,Br2720_mid,NA,polyA,Cyto,polyA_Cyto
2107UNHS-0291_Br2720_Mid_Cyto,2107UNHS-0291,Br2720,Mid,Cyto,OPC,0.030882729800234612,Bisque,1vALL_top25,Br2720_mid,NA,polyA,Cyto,polyA_Cyto
