"","Gene","test.type","p_value","log2.mean.Cluster_Other","log2.mean.Inhib","log2fold_change","Auc"
"163","ENSG00000128683","hurdle",0,-1.871716,3.015619,4.887335,0.926
"282","ENSG00000151789","hurdle",0,1.203126,4.65437,3.451244,0.923
"402","ENSG00000171189","hurdle",0,0.8051733,5.8616706,5.0564973,0.915
"240","ENSG00000144642","hurdle",0,1.637274,4.894618,3.257344,0.913
"276","ENSG00000151136","hurdle",0,-1.560157,3.467452,5.027609,0.912
"196","ENSG00000136750","hurdle",0,-2.165703,3.120188,5.285891,0.911
"318","ENSG00000157103","hurdle",0,-0.07393365,2.86133858,2.93527223,0.888
"238","ENSG00000144596","hurdle",0,-2.546442,1.737267,4.283709,0.887
"496","ENSG00000188158","hurdle",0,-0.3596936,2.5631522,2.9228458,0.886
"15","ENSG00000029534","hurdle",0,-1.390784,2.071578,3.462362,0.884
"494","ENSG00000187957","hurdle",0,0.4007643,3.034929,2.6341647,0.869
"10","ENSG00000017427","hurdle",0,-2.762626,1.409979,4.172605,0.843
"312","ENSG00000155974","hurdle",0,2.29391,4.605835,2.311925,0.841
"578","ENSG00000259905","hurdle",0,0.8297968,3.1843042,2.3545074,0.835
"524","ENSG00000198785","hurdle",0,-0.5883682,2.3257738,2.914142,0.835
"375","ENSG00000168916","hurdle",0,-0.3818504,2.2000602,2.5819106,0.834
"550","ENSG00000232044","hurdle",0,-0.8596669,1.8965097,2.7561766,0.832
"507","ENSG00000196104","hurdle",0,1.627306,3.859941,2.232635,0.832
"476","ENSG00000185053","hurdle",0,2.951232,5.585567,2.634335,0.832
"270","ENSG00000150275","hurdle",0,1.161365,4.03845,2.877085,0.832
"342","ENSG00000163630","hurdle",0,1.00335,4.201832,3.198482,0.83
"315","ENSG00000156273","hurdle",0,-0.6890242,2.1124567,2.8014809,0.83
"470","ENSG00000184408","hurdle",0,3.302665,5.910054,2.607389,0.829
"310","ENSG00000155897","hurdle",0,0.2411181,2.5510359,2.3099178,0.829
"425","ENSG00000174473","hurdle",0,2.694932,6.472667,3.777735,0.827
"390","ENSG00000169855","hurdle",0,2.85471,4.952445,2.097735,0.827
"474","ENSG00000185008","hurdle",0,5.437805,6.896014,1.458209,0.825
"292","ENSG00000152932","hurdle",0,1.82088,3.478757,1.657877,0.821
"84","ENSG00000103460","hurdle",0,-1.638759,1.547533,3.186292,0.818
"401","ENSG00000171094","hurdle",0,-0.8719492,2.3033949,3.1753441,0.811
"379","ENSG00000169122","hurdle",0,0.05400735,2.18460107,2.13059372,0.809
"531","ENSG00000203727","hurdle",0,-0.1938627,2.8080382,3.0019009,0.808
"447","ENSG00000180287","hurdle",0,-0.1315201,2.7239762,2.8554963,0.808
"252","ENSG00000146555","hurdle",0,1.080316,3.369508,2.289192,0.806
"396","ENSG00000170579","hurdle",0,5.292548,6.792658,1.50011,0.805
"567","ENSG00000244694","hurdle",0,0.728772,2.844486,2.115714,0.804
"273","ENSG00000150556","hurdle",0,-2.139412,1.561954,3.701366,0.801
"504","ENSG00000189056","hurdle",0,-2.08229,2.746412,4.828702,0.799
"311","ENSG00000155966","hurdle",0,-0.2449382,2.0190271,2.2639653,0.799
"541","ENSG00000218336","hurdle",0,1.941469,3.58028,1.638811,0.797
"482","ENSG00000185736","hurdle",0,0.2858489,5.0552901,4.7694412,0.797
"5","ENSG00000005108","hurdle",0,0.3864377,2.6424988,2.2560611,0.797
"341","ENSG00000163618","hurdle",0,3.660223,4.967918,1.307695,0.796
"321","ENSG00000157388","hurdle",0,2.485904,3.89636,1.410456,0.795
"301","ENSG00000154217","hurdle",0,1.727438,3.017391,1.289953,0.794
"237","ENSG00000144460","hurdle",0,0.8213477,3.8097525,2.9884048,0.794
"246","ENSG00000145730","hurdle",0,1.828911,3.357055,1.528144,0.793
