"","donor","cellType_broad","dx","n","prop"
"1","sc1","Astro","Control",482,0.0468233922673402
"2","sc1","EndoMural","Control",41,0.00398290266174471
"3","sc1","Excit","Control",4940,0.479891198756557
"4","sc1","Inhib","Control",2968,0.288323295123373
"5","sc1","Micro","Control",785,0.0762580143773072
"6","sc1","OPC","Control",654,0.063532154653196
"7","sc1","Oligo","Control",424,0.0411890421604818
"8","sc2","Astro","Control",665,0.0734157650695518
"9","sc2","EndoMural","Control",60,0.00662397880326783
"10","sc2","Excit","Control",4324,0.477368072422168
"11","sc2","Inhib","Control",1847,0.203908147493928
"12","sc2","Micro","Control",318,0.0351070876573195
"13","sc2","OPC","Control",518,0.0571870170015456
"14","sc2","Oligo","Control",1326,0.146389931552219
"15","sc3","Astro","Control",1033,0.0920431257239597
"16","sc3","EndoMural","Control",43,0.00383141762452107
"17","sc3","Excit","Control",5771,0.51421188630491
"18","sc3","Inhib","Control",3048,0.271585137663726
"19","sc3","Micro","Control",84,0.00748462977813419
"20","sc3","OPC","Control",634,0.0564911342778223
"21","sc3","Oligo","Control",610,0.0543526686269268
"22","sc5","Astro","Control",1317,0.142594196621914
"23","sc5","EndoMural","Control",16,0.00173235166738848
"24","sc5","Excit","Control",3127,0.338566478995236
"25","sc5","Inhib","Control",1699,0.183954092680814
"26","sc5","Micro","Control",728,0.0788220008661758
"27","sc5","OPC","Control",677,0.0733001299263751
"28","sc5","Oligo","Control",1672,0.181030749242096
"29","sc6","Astro","Control",136,0.0172326406487582
"30","sc6","EndoMural","Control",22,0.00278763304612266
"31","sc6","Excit","Control",4405,0.558160162189559
"32","sc6","Inhib","Control",1911,0.242143943233654
"33","sc6","Micro","Control",168,0.0212873796249366
"34","sc6","OPC","Control",504,0.0638621388748099
"35","sc6","Oligo","Control",746,0.0945261023821592
"36","sc7","Astro","Control",658,0.0662705206969483
"37","sc7","EndoMural","Control",54,0.00543861416053983
"38","sc7","Excit","Control",3083,0.310504582536006
"39","sc7","Inhib","Control",1948,0.196192970087622
"40","sc7","Micro","Control",888,0.0894349884177661
"41","sc7","OPC","Control",577,0.0581125994561386
"42","sc7","Oligo","Control",2721,0.274045724644979
"43","sc11","Astro","Control",2012,0.172186563970903
"44","sc11","EndoMural","Control",50,0.00427899015832264
"45","sc11","Excit","Control",4964,0.424818142918271
"46","sc11","Inhib","Control",2288,0.195806589644844
"47","sc11","Micro","Control",375,0.0320924261874198
"48","sc11","OPC","Control",641,0.0548566538296962
"49","sc11","Oligo","Control",1355,0.115960633290543
"50","sc12","Astro","Control",1144,0.0916372957385453
"51","sc12","EndoMural","Control",83,0.00664851009291894
"52","sc12","Excit","Control",4533,0.363104774110862
"53","sc12","Inhib","Control",1848,0.148029477731496
"54","sc12","Micro","Control",623,0.049903876962512
"55","sc12","OPC","Control",692,0.0554309516180711
"56","sc12","Oligo","Control",3561,0.285245113745594
"57","sc13","Astro","Control",350,0.0332731248217511
"58","sc13","EndoMural","Control",27,0.0025667839148208
"59","sc13","Excit","Control",4741,0.450708242228349
"60","sc13","Inhib","Control",1516,0.144120163513642
"61","sc13","Micro","Control",324,0.0308014069778496
"62","sc13","OPC","Control",487,0.0462971765376937
"63","sc13","Oligo","Control",3074,0.292233102005894
"64","sc18","Astro","MDD",1426,0.130574123248787
"65","sc18","EndoMural","MDD",76,0.00695906968226353
"66","sc18","Excit","MDD",3990,0.365351158318835
"67","sc18","Inhib","MDD",1139,0.104294478527607
"68","sc18","Micro","MDD",247,0.0226169764673565
"69","sc18","OPC","MDD",555,0.0508195220217929
"70","sc18","Oligo","MDD",3488,0.319384671733358
"71","sc21","Astro","MDD",520,0.067366239150149
